p1	T: 	W: 	S: 
p2	T: 	W: 	S: 
p3	T: y266(200/30/60)	W: y256[調5 作2 面3] y397[調6 作2 面2]	S: y396:28
p4	T: y256(240/27/65)	W: y246[調6 作2 面2] y377[調5 作2 面3]	S: y377:24
p5	T: y261(40/40/16)	W: y251[調6 作2 面2] y387[調5 作2 面3]	S: 
p6	T: y211(120/30/36)	W: y201[調4 作3 面3]	S: 
p7	T: y326(200/30/60)	W: y316[調6 作2 プ2] y517[調6 作2 プ2]	S: y517:16
p8	T: y336(40/100/40)	W: y326[調4 実4 プ2] y537[調6 実2 プ2]	S: y537:20
p9	T: y229(240/15/36)	W: y219[調5 小3 面2]	S: 
p10	T: y336(120/50/60)	W: y326[調5 作2 面3] y537[調6 作2 面2]	S: y537:30
p11	T: y251(40/40/16)	W: y236[調6 作2 面2] y357[調6 作2 面2]	S: y357:24
p12	T: y296(120/36) y301(30) y316(40/12)	W: y291[調6 作2 面2] y467[調6 作2 面2]	S: y467:24
p13	T: y256(200/20/40)	W: y246[調6 小2 面2] y377[調6 小2 面2]	S: y377:20
p14	T: y281(40/30/12)	W: y271[調5 小3 面2] y427[調6 小2 面2]	S: 
p15	T: y316(40/50/20)	W: y306[調7 プ3] y497[調7 プ3]	S: y497:12
p16	T: y301(40/30/12)	W: y286[調4 面3 実3]	S: 
p17	T: y282(120/25/30)	W: y271[調5 作2 面3] y427[調6 作2 面2]	S: y427:12
p18	T: y292(40/50/20)	W: y281[調5 作2 面3] y447[調6 作2 面2]	S: 
p19	T: y259(40/50/20)	W: y250[調5 作2 面3] y385[調6 作2 面2]	S: y385:12
p20	T: y269(40/50/20)	W: y254[調5 作2 面3] y395[調6 作2 面2]	S: y395:24
p21	T: y270(40/50/20)	W: y259[調5 作2 面3] y405[調6 作2 面2]	S: y405:12
p22	T: y323(80/50/40)	W: y314[調5 作2 プ3] y514[調6 作2 プ2]	S: y514:16
p23	T: y256(280/15/42)	W: y246[調4 小4 面2] y377[調4 小4 面2]	S: 
p24	T: y271(160/30/48)	W: y261[調4 作3 面3] y407[調6 作2 面2]	S: y407:24
p25	T: y281(40/50/20)	W: y271[調5 作2 面3] y427[調6 作2 面2]	S: 
p26	T: y249(160/20/32)	W: y239[調6 作2 面2] y363[調6 作2 面2]	S: y363:11
p27	T: y269(40/35/14)	W: y253[調6 作2 面2] y390[調6 作2 面2]	S: y390:16
p28	T: y291(40/50/20)	W: y276[調4 面3 実3] y437[調5 面3 実2]	S: y437:40
