# T-Y14 okinawa: 令和9年度(2027年度入学者選抜)沖縄県立高等学校「特色選抜に係る募集人員の特別枠の設置」及び「(一般選抜)調査書と学力検査等の成績の比重」一覧(PDF4頁)を目視転記。
# 元PDF: https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/041/122/09hijyu4.pdf (県ページ https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1041122.html)
# 形式: No|学校番号|学校名|課程|学科|コース|定員|特色選抜募集人員の割合(%)|特別枠(x=なし/o=あり[チェック不要]/O=あり[チェック必要])|比重(調査書:学力検査等)
# 学校番号・学校名は最初の行のみ記載(以降の同一校の行は空欄=前行を継承)。定員の合計は資料の合計行14,720。
1|1|辺土名|全日|普通||40|20|x|5:5
2|||全日|自然環境||40|40|x|5:5
3|2|北山|全日|普通||80|25|O|5:5
4|||全日|理数||40|35|O|5:5
5|3|本部|全日|普通|進学・情報|40|20|x|5:5
6|||全日|普通|スポーツ・保育福祉|40|20|x|5:5
7|4|名護|全日|普通||240|25|O|4.5:5.5
8|||全日|フロンティア||80|25|x|4.5:5.5
9|5|宜野座|全日|普通||120|25|O|5:5
10|6|石川|全日|普通||160|25|o|5:5
11|7|前原|全日|普通|文理|240|25|O|5:5
12|||全日|普通|英語|40|25|O|5:5
13|||全日|普通|総合スポーツ|40|25|O|5:5
14|8|与勝|全日|普通||160|25|o|5:5
15|9|読谷|全日|普通||320|25|O|4.5:5.5
16|10|嘉手納|全日|総合学|ドリームデザイン|185|20|x|5:5
17|||全日|総合学|キャリアアップ|15|20|x|5:5
18|11|具志川|全日|普通||240|25|O|4.5:5.5
19|12|美里|全日|普通||200|20|x|5:5
20|13|コザ|全日|普通||360|25|o|4.5:5.5
21|||定時|商業||40|40|x|5:5
22|14|球陽|全日|文理探究||280|45|o|4:6
23|15|北谷|全日|普通||280|20|x|5:5
24|16|北中城|全日|普通||280|20|x|5:5
25|17|普天間|全日|普通||360|25|o|4.5:5.5
26|18|宜野湾|全日|普通|情報処理|40|25|O|5:5
27|||全日|普通|スポーツ・健康|40|25|o|5:5
28|||全日|普通|普通|160|25|O|5:5
29|19|西原|全日|普通|健康科学|40|25|o|5:5
30|||全日|普通|文理|280|25|o|5:5
31|20|浦添|全日|普通||360|25|O|5:5
32|21|那覇国際|全日|普通||320|25|o|4:6
33|||全日|国際||40|45|o|4:6
34|22|陽明|全日|総合学||240|20|x|5:5
35|23|首里|全日|普通||360|25|o|4:6
36|||全日|染織デザイン||40|40|x|5:5
