id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
C1-001,shiga,おうみ進学プラザ,株式会社Way Bridge,mail,omi@omi-plaza.com,https://omi-plaza.com/company/,無,有,,「おうみ進学プラザについて」ページに滋賀県立高校入試では記述式の問題が多く出題されると記載があり、中学生の集団学習コースがある,未着手
C1-002,shiga,昴塾,CKCネットワーク株式会社,form,https://www.ckc.co.jp/contact/,https://subaru-jyuku.jp/course/,無,有,10,昴塾のコース案内に「３年生は入試対策も行っています」とある(運営会社の問い合わせフォームを宛先とした),未着手
C1-003,shiga,服部塾・よしき塾,,form,https://hattorijuku.com/contact,https://hattorijuku.com/information/1046/,無,有,4,中学3年生向け「高校受験に向けた入試特訓」開始のお知らせ(2026/09/14)がある,未着手
C1-004,shiga,個別指導アップ・る,,form,https://up-dekiru555.com/contact/,https://up-dekiru555.com/junior_high/,無,有,4,中学部ページに「地元中学校の進路内容にあわせ内申書対策に対応した地域密着型指導」とある(本部は彦根市),未着手
C1-005,shiga,アットスクール,株式会社アットスクール,form,https://www.at-school.jp/inquiry/,https://www.at-school.jp/,無,有,11,滋賀・大阪・兵庫・京都・愛知に11教室があり、サイトに中学・高校入試の合格実績と入試情報のページがある,未着手
C1-006,kyoto,近藤塾,,mail,info@kondojuku-uji.com,https://www.kondojuku-kyoto-osaka.com/juku,無,有,34,「中3 高校入試特訓(個別指導)」が8月下旬から2月まである(塾概要ページにMAIL欄として掲載のアドレス),未着手
C1-007,kyoto,立誠学院,立誠学院グループ,form,https://www.rissei-gakuin.com/inquiry/inquiry.html,https://www.rissei-gakuin.com/ssr/,無,有,6,「小６から始められる受験コース」があり週3日通塾と記載(山科・醍醐・伏見など6校舎),未着手
C1-008,kyoto,教学舎,,form,https://kyougakusya.net/contact,https://kyougakusya.net/,無,有,,中学生コースは英語・数学がメイン科目で、内申点を上げる学習にも触れている(福知山市・舞鶴市・綾部市),未着手
C1-009,kyoto,京都 修学塾,,form,https://www.shugakujuku-kyoto.com/form.php,https://www.shugakujuku-kyoto.com/,無,有,,トップに「冬期講習のお申込・パンフレット」の案内が掲載されている,未着手
C1-010,kyoto,學進会,,form,https://gakushinkai.co.jp/?page_id=528,https://gakushinkai.co.jp/,無,有,,福知山の塾で、個別指導の対象に中学生が含まれ、一斉授業で高校受験に対応するとある,未着手
C1-011,hyogo,岡村ゼミナール,岡村ゼミナール株式会社,form,https://oksemi.co.jp/ap,https://oksemi.co.jp/,無,有,30,中学生の「高校受験コース」は難関公立高校への進学を目指すコースと記載(姫路・赤穂・たつの等30教室),未着手
C1-012,hyogo,進学個別指導塾Willbe,,form,https://ako-juku.com/contact/,https://ako-juku.com/,無,有,,兵庫県公立高校入試の内申点計算ツールと合格目安(第4学区対応)を公開している(赤穂市),未着手
C1-013,hyogo,学習空間オズ,,mail,learningspace.oz@gmail.com,https://www.learning-space-oz.com/contact,無,有,,三田市の塾で、サイトに中学部のページがある(内容は画像のため講座詳細は未確認)。gmailだが事業名のアドレス,未着手
C1-014,hyogo,まんてん個別指導塾,,form,https://mantenlab.com/flow,https://mantenlab.com/j_high_school,無,有,20,中学生向けに各校の定期試験前2週間から10時間以上の試験対策を行うと記載(兵庫県内20教室以上),未着手
C1-015,hyogo,北摂英数学院,,form,http://hukuin.sakura.ne.jp/contact.html,http://hukuin.sakura.ne.jp/,無,有,,大手塾からの転塾生が北摂三田高校などに合格した実績を掲載している(メールは詐欺対策で閉鎖済み・フォームのみ),未着手
C1-016,aichi,星煌学院,株式会社星煌学院,form,https://www.sj-seico.co.jp/contact.html,https://www.sj-seico.co.jp/company.html,無,有,9,事業内容に「小中学生の学習指導及び公立高校受験を中心とする進学指導」と記載(名古屋市の大高・有松など),未着手
C1-017,aichi,トップ教育センター,株式会社トップ教育センター,form,https://www.top-kyouiku.co.jp/inquiry/,https://www.top-kyouiku.co.jp/company/,無,有,17,集団指導のEISUゼミナールは小学校から公立高校に沿った学習・進学指導をベースにすると記載(半田市・知多エリア),未着手
C1-018,aichi,名学館,株式会社名学館ホールディングス,form,http://www.meigakukan.co.jp/inquiry/,http://www.meigakukan.co.jp/,無,有,,トップに「定期テスト対策／内申アップ対策／中高大受験対策」を掲げている(名古屋市),未着手
C1-019,aichi,野田塾,,form,https://www.nodajuku.co.jp/form/enquete_form.php?en=1,https://www.nodajuku.co.jp/,無,有,,サイトに愛知の公立高校入試問題・解答のページがある,未着手
C1-020,aichi,明海学院,,form,https://meikaigakuin.com/contact/,https://meikaigakuin.com/course/junior-high-school/,無,有,,中3生は4月中旬から毎週土曜に「高校入試対策講座」を開講と記載(愛知・岐阜の個別指導塾),未着手
C1-021,ishikawa,東大セミナー,株式会社ティエラ石川,form,https://www.tohsemi.com/contact3/,https://www.tohsemi.com/,無,有,10,サイトのコース案内に「選抜入試対策講座」がある(金沢市・野々市市・白山市の10校舎),未着手
C1-022,ishikawa,学習塾GAIN,,form,https://gain-ishikawa.com/contact/,https://gain-ishikawa.com/,無,有,2,中高生クラス授業がある(白山市の松任駅前校・高尾南校の2校),未着手
