id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
KNGB-001,kanagawa,ちがさき少人数教室,,form,https://www.sps-shonan.com/contact/,https://www.sps-shonan.com/contact/,無,有,,定期試験前に内申点アップを狙った対策授業と長時間の補講を行うとトップページに記載(SPS湘南グループを前身と表記),未着手
KNGB-002,kanagawa,個別進学塾トークス 平塚校,株式会社wacwac,mail,info@talkss.jp,https://talkss.jp/law/,無,有,,ブログに「神奈川県公立高校入試のしくみ」の解説記事がある(同社が個別指導エクセルシア茅ヶ崎校も運営しており同一運営会社のため1行のみ),未着手
KNGB-003,kanagawa,学習塾 育海会,株式会社フラップステージ,mail,info@ikumikai.com,https://ikumikai.com/,無,有,,サイト見出しが「平塚中等・公立高校受験 学習塾」で集団授業と個別指導を掲げる,未着手
KNGB-004,kanagawa,ブライト学院学習塾,,form,https://bright-gakuin.co.jp/form,https://bright-gakuin.co.jp/form,無,有,,特色検査や神奈川県公立高校入試に散見される難問をクリアする新コースの募集案内がある,未着手
KNGB-005,kanagawa,学心塾・学心Plus,,form,https://www.gakushin-juku.net/toiawase,https://www.gakushin-juku.net/toiawase,無,有,,指導対象に中学生全学年を明記(平塚・大磯・秦野に教室と表記)。無料体験後の強引な勧誘はしない旨の記載のみで営業お断り表記は無し,未着手
KNGB-006,kanagawa,SCI木の芽教室,,form,http://www.kinome.co.jp/?page_id=25,http://www.kinome.co.jp/?page_id=25,無,有,,1976年開校の綾瀬市の学習塾で中学生向けの時間割・指導料ページがある,未着手
KNGB-007,kanagawa,リード個別学習教室,,form,https://www.lead-kobetsu.com/inquiry/,https://www.lead-kobetsu.com/inquiry/,無,有,,塾長日記に「公立高校入試、全員第一志望合格」(2025年2月28日)と記載,未着手
KNGB-008,kanagawa,個別対応学習塾Will Do,株式会社SES,form,https://www.willdogo.com/contact.html,https://www.willdogo.com/contact.html,無,有,,サイトタイトルに「神奈川方式対応」とあり大和市・綾瀬市の中学生を対象とする,未着手
KNGB-009,kanagawa,アテナ理英ゼミナール,,mail,info@athenazemi.com,https://athenazemi.com/,無,有,,コース説明に「通学校の授業準拠で内申点の充実を」と記載,未着手
KNGB-010,kanagawa,進学塾cocoro,,form,https://cocorocoro.com/contact/index.html,https://cocorocoro.com/contact/index.html,無,有,,中央林間の進学塾で冬期講習会の案内ページ(2023年度分)がある,未着手
