県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210000011,千葉県立千葉高等学校,普通科,240,331,1.38,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.35,0.03
千葉県,D112210000020,千葉県立千葉女子高等学校,普通科,240,234,0.98,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.13,-0.15
千葉県,D112210000020,千葉県立千葉女子高等学校,家政科,40,33,0.83,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.25,-0.42
千葉県,D112210000039,千葉県立千葉東高等学校,普通科,320,448,1.4,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.31,0.09
千葉県,D112210000048,千葉県立千葉商業高等学校,商業科・情報処理科,320,359,1.12,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.2,-0.08
千葉県,D112210000057,千葉県立京葉工業高等学校,機械科,40,32,0.8,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.05,-0.25
千葉県,D112210000057,千葉県立京葉工業高等学校,電子工業科,80,60,0.75,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.93,-0.18
千葉県,D112210000057,千葉県立京葉工業高等学校,設備システム科,40,29,0.73,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.95,-0.22
千葉県,D112210000057,千葉県立京葉工業高等学校,建設科,40,21,0.53,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.25,-0.72
千葉県,D112210000066,千葉県立千葉工業高等学校,電子機械科,40,55,1.38,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.86,0.52
千葉県,D112210000066,千葉県立千葉工業高等学校,電気科,40,50,1.25,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.93,0.32
千葉県,D112210000066,千葉県立千葉工業高等学校,情報技術科,40,51,1.28,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.68,0.6
千葉県,D112210000066,千葉県立千葉工業高等学校,工業化学科,40,39,0.98,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.9,0.08
