県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
長野県,D120221300015,長野県飯山高等学校,普通,56,42,0.75,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.82,-0.07
長野県,D120221300015,長野県飯山高等学校,自然科学探究・人文科学探究（くくり募集）,44,10,0.23,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.47,-0.24
長野県,D120221300015,長野県飯山高等学校,スポーツ科学,13,4,0.31,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0,0.31
長野県,D120256200012,長野県下高井農林高等学校,地域創造農学,41,14,0.34,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.19,0.15
長野県,D120221100026,長野県中野立志館高等学校,総合,64,42,0.66,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.63,0.03
長野県,D120221100017,長野県中野西高等学校,普通,80,69,0.86,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.84,0.02
長野県,D120220700022,長野県須坂東高等学校,普通,86,28,0.33,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.74,-0.41
長野県,D120220700013,長野県須坂高等学校,普通,240,252,1.05,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.95,0.1
長野県,D120220700031,長野県須坂創成高等学校,農業（園芸農学・食品科学・環境造園）,48,54,1.13,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.4,-0.27
長野県,D120220700031,長野県須坂創成高等学校,工業（創造工学）,16,14,0.88,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.31,-0.43
長野県,D120220700031,長野県須坂創成高等学校,商業,32,33,1.03,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.34,-0.31
長野県,D120259000018,長野県北部高等学校,普通,51,26,0.51,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.33,0.18
長野県,D120220100037,長野県長野吉田高等学校,普通,240,262,1.09,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.18,-0.09
長野県,D120220100019,長野県長野高等学校,普通,280,290,1.04,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.11,-0.07
長野県,D120220100028,長野県長野西高等学校,普通,200,208,1.04,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.11,-0.07
長野県,D120220100028,長野県長野西高等学校,国際教養,4,14,3.5,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.64,2.86
長野県,D120220100055,長野県長野商業高等学校,商業・会計（くくり募集）,80,82,1.03,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.15,-0.12
長野県,D120220100108,長野県長野東高等学校,普通,112,112,1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.01,-0.01
長野県,D120220100046,長野県長野工業高等学校,機械工学,16,15,0.94,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1,-0.06
