prefectureCode,prefectureName,schoolName,area,department,fiscalYear,quota,finalApplicants,finalRate,sourceUrl,docTitle,fetchedAt
chiba,千葉県,千葉,,普通科,令和8年度（2026年度）,240,331,1.38,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉女子,,普通科,令和8年度（2026年度）,240,234,0.98,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉女子,,家政科,令和8年度（2026年度）,40,33,0.83,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉東,,普通科,令和8年度（2026年度）,320,448,1.4,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉商業,,商業科・情報処理科,令和8年度（2026年度）,320,359,1.12,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,京葉工業,,機械科,令和8年度（2026年度）,40,32,0.8,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,京葉工業,,電子工業科,令和8年度（2026年度）,80,60,0.75,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,京葉工業,,設備システム科,令和8年度（2026年度）,40,29,0.73,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,京葉工業,,建設科,令和8年度（2026年度）,40,21,0.53,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉工業,,電子機械科,令和8年度（2026年度）,40,55,1.38,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉工業,,電気科,令和8年度（2026年度）,40,50,1.25,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉工業,,情報技術科,令和8年度（2026年度）,40,51,1.28,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
chiba,千葉県,千葉工業,,工業化学科,令和8年度（2026年度）,40,39,0.98,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,千葉県教育委員会 令和8年度公立高等学校一般入学者選抜等志願者確定数一覧＜その1〜6＞,2026-07-24
