区分,学校名,学科名等,学力検査,特色検査,比率_学習の記録(評定),比率_学力検査,比率_特色検査,重点化([調]は調査書・[学]は学力検査)
定時制　普通科,希望ケ丘,普通科,英国数,－,5,5,－,－
定時制　普通科,横須賀,普通科,英国数,－,4,6,－,－
定時制　普通科,追浜,普通科,英国数,面接,5,5,5,－
定時制　普通科,津久井,普通科,英国数,面接,5,5,3,－
定時制　普通科,横浜市立戸塚,普通科,英国数,－,5,5,－,－
定時制　普通科,川崎市立橘,普通科,英国数,－,5,5,－,－
定時制　普通科,川崎市立高津,普通科,英国数,－,4,6,－,－
定時制　専門学科(工業に関する学科),小田原北,機械科・電気科,英国数,－,5,5,－,－
定時制　専門学科(工業に関する学科),川崎市立川崎総合科学,クリエイト工学科,英国数,面接,5,5,5,－
定時制　専門学科(商業に関する学科),川崎市立川崎総合科学,商業科,英国数,面接,5,5,5,－
単位制による定時制　普通科,神奈川工業,普通科,英国数,－,5,5,－,－
単位制による定時制　普通科,湘南,普通科,英国数,面接,3,7,5,－
単位制による定時制　普通科,高浜,普通科,英国数,面接,4,6,4,－
単位制による定時制　普通科,小田原,普通科,英国数,面接,4,6,5,－
単位制による定時制　普通科,神奈川総合産業,普通科,英国数,－,2,8,－,－
単位制による定時制　総合学科,横須賀市立横須賀総合,総合学科,英国数,面接,5,5,5,－
単位制による定時制　専門学科(工業に関する学科),神奈川工業,機械科,英国数,－,5,5,－,－
単位制による定時制　専門学科(工業に関する学科),神奈川工業,電気科,英国数,－,5,5,－,－
単位制による定時制　専門学科(工業に関する学科),神奈川工業,建設科,英国数,－,5,5,－,－
