番号,学校名,学科名(系・科),男女,特色選抜_学力点,特色選抜_調査書点,特色選抜_独自検査点,一般選抜_学力点,一般選抜_調査書点,特色選抜の定員の割合,学校独自検査_個人面接,学校独自検査_集団面接,学校独自検査_プレゼンテーション,学校独自検査_グループ討論,自己表現シート・学校独自質問の有無,一般選抜_傾斜配点,PDFの頁
1,宇都宮高校,普通,男,500,100,100,500,50,10%,,,,○,○,国数英,1
2,宇都宮東高校,普通,男女,500,500,250,500,50,20%,,,○,,○,（斜線）,1
3,宇都宮南高校,普通,男女,500,270,400,500,125,30%,,,○,,,（斜線）,1
4,宇都宮北高校,普通,男女,500,150,150,500,50,15%,○,,○,,,（斜線）,1
5,宇都宮女子高校,普通,女,500,50,180,500,50,10%,,,○,,,国数英,1
6,宇都宮中央高校,普通,男女,500,150,150,500,50,15%,,,○,,○,（斜線）,1
6,宇都宮中央高校,総合家庭,男女,500,150,150,500,100,25%,,,○,,○,（斜線）,1
7,宇都宮白楊高校,農業経営,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,生物工学,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,食品科学,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,農業工学,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,情報技術,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,流通経済,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
7,宇都宮白楊高校,服飾デザイン,男女,500,333,300,500,333,30%,,,○,,,（斜線）,1
8,宇都宮工業高校,機械システム,男女,500,500,600,500,214,30%,,,○,,○,（斜線）,1
8,宇都宮工業高校,電気情報システム,男女,500,500,600,500,214,30%,,,○,,○,（斜線）,1
8,宇都宮工業高校,建築デザイン,男女,500,500,600,500,214,30%,,,○,,○,（斜線）,1
8,宇都宮工業高校,環境建設システム,男女,500,500,600,500,214,30%,,,○,,○,（斜線）,1
9,宇都宮商業高校,商業,男女,500,150,50,500,135,35%,,,○,,○,（斜線）,1
9,宇都宮商業高校,情報処理,男女,500,150,50,500,135,35%,,,○,,○,（斜線）,1
10,鹿沼高校,普通,男女,500,135,65,500,135,25%,,,○,,,（斜線）,1
11,鹿沼東高校,普通,男女,500,200,300,500,125,50%,,,○,,,（斜線）,1
12,鹿沼華陵高校,農林科学,男女,500,300,200,500,400,35%,○,,,,○,（斜線）,1
12,鹿沼華陵高校,機械・土木,男女,500,300,200,500,400,30%,○,,,,○,（斜線）,1
12,鹿沼華陵高校,情報科学,男女,500,300,200,500,400,30%,○,,,,○,（斜線）,1
12,鹿沼華陵高校,商業,男女,500,300,200,500,400,35%,○,,,,○,（斜線）,1
12,鹿沼華陵高校,ライフデザイン,男女,500,300,200,500,400,35%,○,,,,○,（斜線）,1
13,今市高校,総合学科,男女,500,300,400,500,200,40%,,,○,,,（斜線）,1
14,上三川高校,普通,男女,500,214,100,500,214,20%,○,,○,,○,（斜線）,1
15,石橋高校,普通,男女,500,100,400,500,100,20%,,,○,,○,（斜線）,1
16,小山高校,普通･数理科学,男女,500,125,375,500,125,15%,,,○,,○,（斜線）,1
17,小山南高校,普通,男女,500,500,300,500,214,30%,,,○,,○,（斜線）,1
17,小山南高校,スポーツ,男女,500,500,500,500,333,50%,,,○,,○,（斜線）,1
18,小山西高校,普通,男女,500,500,1000,500,125,30%,,,○,,,（斜線）,1
19,小山北桜高校,食料環境,男女,500,625,125,500,214,30%,○,,,,,（斜線）,2
19,小山北桜高校,建築システム,男女,500,625,125,500,214,30%,○,,,,,（斜線）,2
19,小山北桜高校,総合ビジネス,男女,500,625,125,500,214,30%,○,,,,,（斜線）,2
19,小山北桜高校,生活文化,男女,500,625,125,500,214,30%,○,,,,,（斜線）,2
20,小山城南高校,総合学科,男女,500,300,100,500,200,20%,○,,,,○,（斜線）,2
21,栃木高校,普通,男,500,135,135,500,50,10%,○,,,,,国数英,2
22,栃木女子高校,普通,女,500,100,300,500,100,20%,○,,○,,○,（斜線）,2
23,栃木農業高校,農業科学,男女,500,667,500,500,333,30%,,,○,,○,（斜線）,2
23,栃木農業高校,食品科学,男女,500,667,500,500,333,30%,,,○,,○,（斜線）,2
24,栃木工業高校,機械,男女,500,270,180,500,270,30%,○,,,,,（斜線）,2
24,栃木工業高校,電気,男女,500,270,180,500,270,30%,○,,,,,（斜線）,2
24,栃木工業高校,電子情報,男女,500,270,180,500,270,30%,○,,,,,（斜線）,2
25,栃木商業高校,商業,男女,500,513,240,500,162,30%,○,,,,,（斜線）,2
25,栃木商業高校,情報処理,男女,500,513,240,500,162,30%,○,,,,,（斜線）,2
26,栃木翔南高校,普通,男女,500,500,500,500,125,25%,○,,,,○,（斜線）,2
27,壬生高校,普通,男女,500,200,400,500,200,30%,○,,,,,（斜線）,2
28,佐野高校,普通,男女,500,125,375,500,125,30%,○,,,,○,（斜線）,2
29,佐野東高校,普通,男女,500,200,100,500,100,20%,,○,,,○,（斜線）,2
30,佐野松桜高校,情報制御,男女,500,270,120,500,270,35%,,,○,,○,（斜線）,2
30,佐野松桜高校,商業,男女,500,270,120,500,270,35%,,,○,,○,（斜線）,2
30,佐野松桜高校,家政,男女,500,270,120,500,270,35%,,,○,,○,（斜線）,2
30,佐野松桜高校,介護福祉,男女,500,270,120,500,270,35%,,,○,,○,（斜線）,2
31,足利高校,普通,男女,500,270,150,500,135,15%,,,○,,○,（斜線）,2
32,足利南高校,総合学科,男女,500,300,200,500,300,20%,,,○,,○,（斜線）,2
33,足利工業高校,機械,男女,500,500,270,500,340,35%,,,○,,○,（斜線）,2
33,足利工業高校,電気システム,男女,500,500,270,500,340,35%,,,○,,○,（斜線）,2
33,足利工業高校,産業デザイン,男女,500,500,270,500,340,35%,,,○,,○,（斜線）,2
34,足利清風高校,普通,男女,500,500,500,500,135,35%,○,,○,,,（斜線）,2
34,足利清風高校,商業,男女,500,500,500,500,135,35%,○,,○,,,（斜線）,2
35,真岡高校,普通,男,500,500,1000,500,50,20%,○,,,,,（斜線）,2
36,真岡女子高校,普通,女,500,135,360,500,135,25%,○,,,,○,（斜線）,2
37,真岡北陵高校,生物生産,男女,500,405,180,500,405,50%,○,,,,,（斜線）,2
37,真岡北陵高校,農業機械,男女,500,405,180,500,405,50%,○,,,,,（斜線）,2
37,真岡北陵高校,食品科学,男女,500,405,180,500,405,50%,○,,,,,（斜線）,2
37,真岡北陵高校,総合ビジネス,男女,500,405,180,500,405,50%,○,,,,,（斜線）,2
37,真岡北陵高校,介護福祉,男女,500,405,180,500,405,50%,○,,,,,（斜線）,2
38,真岡工業高校,機械システム,男女,500,500,120,500,350,50%,○,,,,,（斜線）,3
38,真岡工業高校,建設,男女,500,500,120,500,350,50%,○,,,,,（斜線）,3
38,真岡工業高校,電子,男女,500,500,120,500,350,50%,○,,,,,（斜線）,3
39,益子芳星高校,普通,男女,500,500,250,500,350,30%,○,,,,○,（斜線）,3
40,茂木高校,総合学科,男女,500,135,365,500,215,35%,,,○,,○,（斜線）,3
41,烏山高校,普通,男女,500,540,600,500,135,35%,○,,,,○,（斜線）,3
42,馬頭高校,普通,男女,500,570,180,500,500,20%,○,,,,,（斜線）,3
42,馬頭高校,水産,男女,500,570,180,500,500,30%,○,,,,,（斜線）,3
43,大田原高校,普通,男,500,135,165,500,55,20%,,,○,,,（斜線）,3
44,大田原女子高校,普通,女,500,135,200,500,135,30%,○,,,,○,（斜線）,3
45,黒羽高校,普通,男女,500,500,1000,500,500,30%,,,○,,○,（斜線）,3
46,那須拓陽高校,農業経営,男女,500,600,900,500,350,30%,○,,○,,,（斜線）,3
46,那須拓陽高校,生物工学,男女,500,600,900,500,350,30%,○,,○,,,（斜線）,3
46,那須拓陽高校,食品化学,男女,500,600,900,500,350,30%,○,,○,,,（斜線）,3
46,那須拓陽高校,食物文化,男女,500,600,900,500,350,30%,○,,○,,,（斜線）,3
47,那須清峰高校,機械システム,男女,500,333,500,500,333,30%,,,○,,○,（斜線）,3
47,那須清峰高校,電気情報,男女,500,333,500,500,333,30%,,,○,,○,（斜線）,3
47,那須清峰高校,建設工学,男女,500,333,500,500,333,30%,,,○,,○,（斜線）,3
47,那須清峰高校,商業,男女,500,333,500,500,333,30%,,,○,,○,（斜線）,3
48,那須高校,普通,男女,500,675,200,500,500,20%,○,,,,,（斜線）,3
48,那須高校,リゾート観光,男女,500,675,200,500,500,40%,○,,,,,（斜線）,3
