code,name,region,maxScore,targetGrades,coreMultiplier,practicalMultiplier,practicalToCoreRatio,supports10PointScale,naishinRatio,examRatio,sourceUrl
hokkaido,北海道,北海道・東北,315,"1;2;3",1,1,1,false,,,https://www.dokyoi.pref.hokkaido.lg.jp/hk/kki/
aomori,青森県,北海道・東北,135,"1;2;3",1,1,1,false,,,https://www.pref.aomori.lg.jp/soshiki/kyoiku/e-gakyo/senbatsu2026.html
iwate,岩手県,北海道・東北,660,"1;2;3",2,3,1.5,false,,,https://www.pref.iwate.jp/kyouikubunka/kyouiku/gakkou/senbatsu/1091420.html
miyagi,宮城県,北海道・東北,195,"1;2;3",1,2,2,false,,,https://www.pref.miyagi.jp/site/sub-jigyou/list680.html
akita,秋田県,北海道・東北,195,"1;2;3",1,2,2,false,,,https://www.pref.akita.lg.jp/pages/archive/91551
yamagata,山形県,北海道・東北,45,"3",1,1,1,false,,,https://www.pref.yamagata.jp/documents/42443/r8kouritsukoutougakkounyuugakusyasennbatsujissiyoukou.pdf
fukushima,福島県,北海道・東北,195,"1;2;3",1,2,2,false,,,https://www.pref.fukushima.lg.jp/uploaded/attachment/709972.pdf
ibaraki,茨城県,関東,135,"1;2;3",1,1,1,false,,,https://kyoiku.pref.ibaraki.jp/gakko/nyushi/highschool/youkou2026/
tochigi,栃木県,関東,135,"1;2;3",1,1,1,false,,,https://www.pref.tochigi.lg.jp/m04/r08/documents/20250910185058.pdf
gunma,群馬県,関東,135,"1;2;3",1,1,1,false,,,https://www.pref.gunma.jp/site/kyouiku/715449.html
saitama,埼玉県,関東,180,"1;2;3",1,1,1,false,40,60,https://www.pref.saitama.lg.jp/f2208/r8nyuushi-jissiyoukou.html
chiba,千葉県,関東,135,"1;2;3",1,1,1,false,,,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/r8jissiyoko.html
tokyo,東京都,関東,65,"3",1,2,2,false,30,70,https://www.kyoiku.metro.tokyo.lg.jp/admission/high_school/exam
kanagawa,神奈川県,関東,135,"2;3",1,1,1,false,,,https://www.pref.kanagawa.jp/docs/dc4/nyusen/nyusen/nyusenseidogaiyou.html
niigata,新潟県,中部,135,"1;2;3",1,1,1,false,,,https://www.pref.niigata.lg.jp/uploaded/attachment/472931.pdf
toyama,富山県,中部,135,"2;3",1,1,1,false,,,https://www.pref.toyama.jp/300201/kyouiku/kenritsukoukou/08senbatsu.html
ishikawa,石川県,中部,180,"1;2;3",1,1,1,false,,,https://www.pref.ishikawa.lg.jp/kyoiku/gakkou/senbatu/documents/r8bosyuyoko.pdf
fukui,福井県,中部,45,"3",1,1,1,false,,,https://www.pref.fukui.lg.jp/doc/koukou/
yamanashi,山梨県,中部,330,"1;2;3",2,3,1.5,false,,,https://www.pref.yamanashi.jp/kyouiku-kikaku/nyuusi/nyusitop.html
nagano,長野県,中部,45,"3",1,1,1,false,,,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/r8konyushi.html
gifu,岐阜県,中部,180,"1;2;3",1,1,1,false,,,https://www.pref.gifu.lg.jp/site/edu/61428.html
shizuoka,静岡県,中部,45,"3",1,1,1,false,,,https://www.pref.shizuoka.jp/kodomokyoiku/school/kyoiku/1003764/1003891/index.html
aichi,愛知県,中部,90,"3",1,1,1,false,,,https://www.pref.aichi.jp/soshiki/kotogakko/0000027366.html
mie,三重県,近畿,45,"3",1,1,1,false,,,https://www.pref.mie.lg.jp/KOKOKYO/HP/m0204200379.htm
shiga,滋賀県,近畿,135,"1;2;3",1,1,1,false,,,https://www.pref.shiga.lg.jp/edu/nyuushi/high/senbatsu/105597.html
kyoto,京都府,近畿,195,"1;2;3",1,2,2,false,,,https://www.kyoto-be.ne.jp/koukyou/cms/?p=6024
osaka,大阪府,近畿,450,"1;2;3",1,1,1,false,50,50,https://www.pref.osaka.lg.jp/o180040/kotogakko/gakuji-g3/r08_kokosenbatsu.html
hyogo,兵庫県,近畿,250,"3",4,7.5,1.88,false,,,https://www.hyogo-c.ed.jp/~koko-bo/
nara,奈良県,近畿,144,"1;2;3",1,1,1,false,,,https://www.pref.nara.lg.jp/n167/66542.html
wakayama,和歌山県,近畿,180,"1;2;3",1,1,1,false,26,74,https://www.pref.wakayama.lg.jp/prefg/500200/d00220765.html
tottori,鳥取県,中国,65,"3",1,2,2,false,21,79,https://www.pref.tottori.lg.jp/www/contents/1376986345355/index.html
shimane,島根県,中国,180,"1;2;3",1,1,1,false,40,60,https://www.pref.shimane.lg.jp/education/kyoiku/senbatsu/senbatsu_info/
okayama,岡山県,中国,195,"1;2;3",1,2,2,false,36,64,https://www.pref.okayama.jp/site/16/913706.html
hiroshima,広島県,中国,225,"1;2;3",1,1,1,false,47,53,https://www.pref.hiroshima.lg.jp/site/kyouiku/07senior-2nd-r07-nyuushi-r07-kou-r07-youkou-r07kou-youkou.html
yamaguchi,山口県,中国,135,"1;2;3",1,1,1,false,35,65,https://www.pref.yamaguchi.lg.jp/site/kyouiku/310448.html
tokushima,徳島県,四国,195,"1;2;3",1,2,2,false,49,51,https://www.pref.tokushima.lg.jp/file/attachment/937096.pdf
kagawa,香川県,四国,390,"1;2;3",2,4,2,false,40,60,https://www.pref.kagawa.lg.jp/kenkyoui/kokokyoiku/nyushi/chugaku-koko/examination02.html
ehime,愛媛県,四国,135,"1;2;3",1,1,1,false,35,65,https://ehime-kyoiku.esnet.ed.jp/koukou/nyuusi/r08nyuusi
kochi,高知県,四国,195,"1;2;3",1,2,2,true,44,56,https://www.pref.kochi.lg.jp/doc/r8_koukounyushi_main/
fukuoka,福岡県,九州・沖縄,45,"3",1,1,1,false,13,87,https://www.pref.fukuoka.lg.jp/site/kyouiku/08youkou.html
saga,佐賀県,九州・沖縄,135,"1;2;3",1,1,1,false,35,65,https://www.pref.saga.lg.jp/kyouiku/kiji003115881/index.html
nagasaki,長崎県,九州・沖縄,135,"1;2;3",1,1,1,false,21,79,https://www.pref.nagasaki.jp/doc/page-746842.html
kumamoto,熊本県,九州・沖縄,180,"1;2;3",1,1,1,false,42,58,https://www.pref.kumamoto.jp/site/kyouiku/244675.html
oita,大分県,九州・沖縄,520,"1;2;3",2,4,2,false,40,60,https://www.pref.oita.jp/site/kyoiku/r08koukounyushi.html
miyazaki,宮崎県,九州・沖縄,135,"1;2;3",1,1,1,false,21,79,https://www.pref.miyazaki.lg.jp/kokokyoiku/kyoikukosodate/kyoiku/20250618193442.html
kagoshima,鹿児島県,九州・沖縄,450,"3",2,20,10,false,50,50,https://www.pref.kagoshima.jp/kyoiku-bunka/school/koukou/nyushi/
okinawa,沖縄県,九州・沖縄,165,"1;2;3",1,1.5,1.5,false,35,65,https://www.pref.okinawa.lg.jp/kyoiku/gakko/1008883/1008887/1035054.html
